X,Y
0.000000000000000000e+00,0.000000000000000000e+00
9.999360040957431250e-01,5.373121103359225890e-08
1.999872008191486250e+00,4.220961320151302044e-10
2.999808012287229264e+00,2.565668759434969705e-08
3.999744016382972500e+00,3.907868930767161442e-08
4.999680020478715292e+00,1.000000009711859095e+00
5.999616024574458528e+00,7.264605601969575814e-09
6.999552028670201764e+00,5.994293452079011609e-08
7.999488032765945000e+00,1.714356604646199565e-08
8.999424036861688236e+00,9.797665661935432980e-08
9.999360040957430584e+00,5.020977488339402196e-09
1.099929604505317471e+01,1.187667715166403252e-08
1.199923204914891706e+01,9.017194169547447302e-08
1.299916805324466118e+01,1.417472183261737288e-08
1.399910405734040353e+01,8.876717504188263222e-08
1.499904006143614765e+01,1.482593469790892438e-08
1.599897606553189000e+01,7.165291309835680592e-08
1.699891206962763235e+01,9.046295456734224393e-08
1.799884807372337647e+01,9.147670861876883620e-08
1.899878407781912060e+01,5.237830758648707794e-08
1.999872008191486117e+01,5.000000822422080438e-01
2.099865608601060529e+01,3.525775539880540751e-08
2.199859209010634942e+01,4.824127551987454463e-09
2.299852809420209354e+01,8.811056901830708083e-08
2.399846409829783411e+01,9.179841495262221377e-08
2.499840010239357824e+01,4.908006284454612469e-08
2.599833610648932236e+01,2.154914980869996940e-09
2.699827211058506293e+01,6.837876035112233711e-08
2.799820811468080706e+01,3.535473468878867298e-08
2.899814411877655118e+01,2.743413386726425184e-08
2.999808012287229531e+01,1.222303663549961876e-08
3.099801612696803588e+01,8.343753087194871074e-08
3.199795213106378000e+01,3.125000000783750842e-08
3.299788813515952057e+01,3.795605111025907176e-08
3.399782413925526470e+01,2.250010293650364357e-08
3.499776014335100882e+01,4.536062504483584403e-08
3.599769614744675295e+01,4.233684508229004235e-08
3.699763215154249707e+01,3.111039273982700256e-08
3.799756815563824119e+01,5.914416502400119445e-08
3.899750415973398532e+01,8.819854594033806511e-09
3.999744016382972234e+01,4.760424111247253672e-08
4.099737616792546646e+01,1.740003387540549793e-08
4.199731217202121059e+01,1.701727266668869428e-08
4.299724817611695471e+01,8.968812506816119684e-08
4.399718418021269883e+01,6.851724176915041653e-08
4.499712018430844296e+01,5.948764047367718981e-08
4.599705618840418708e+01,1.434435593906914974e-07
4.699699219249992410e+01,2.651427737422597935e-09
4.799692819659566823e+01,1.158470869139737751e-07
4.899686420069141235e+01,3.578917115144339826e-08
4.999680020478715647e+01,3.680032426244940929e-08
5.099673620888290060e+01,3.159745044750691449e-08
5.199667221297864472e+01,2.653467003020863570e-08
5.299660821707438885e+01,3.727745800444204323e-08
5.399654422117012587e+01,7.172167644494042789e-09
5.499648022526586999e+01,8.783711619721398453e-08
5.599641622936161411e+01,2.705060779368768139e-08
5.699635223345735824e+01,4.262826840595988510e-08
5.799628823755310236e+01,5.403447442103381165e-08
5.899622424164884649e+01,7.235378562953087567e-08
5.999616024574459061e+01,3.874934753875619270e-08
6.099609624984032763e+01,3.690420615318673265e-08
6.199603225393607175e+01,3.430104343247753399e-08
6.299596825803181588e+01,7.730382184287441360e-08
6.399590426212756000e+01,0.000000000000000000e+00
